artist,metascore,num_lyric_tracks,release_date,title,user_score,explicit_count,explicit_avg
Sunn O))),85,4,19-Apr-19,Life Metal,7.5,0,0.0
Opeth,85,10,27-Sep-19,In Cauda Venenum,8.8,0,0.0
Mannequin Pussy,85,10,21-Jun-19,Patience,7.9,11,1.1
Big Thief,85,10,11-Oct-19,Two Hands,8.3,0,0.0
Nilüfer Yanya,85,0,22-Mar-19,Miss Universe,8.3,0,0.0
Jenny Lewis,85,11,22-Mar-19,On the Line,8.4,2,0.18181818181818182
Bring Me the Horizon,85,13,25-Jan-19,Amo,7.5,34,2.6153846153846154
Julia Jacklin,85,10,22-Feb-19,Crushing,8.1,0,0.0
Marika Hackman,84,11,9-Aug-19,Any Human Friend,7.5,18,1.6363636363636365
Vanishing Twin,84,10,7-Jun-19,The Age of Immunology,tbd,0,0.0
The Twilight Sad,84,11,18-Jan-19,It Won't Be Like This All the Time,8.1,0,0.0
Teebs,84,15,25-Oct-19,Anicca,8.3,1,0.06666666666666667
Sleaford Mods,84,12,22-Feb-19,Eton Alive,7.1,27,2.25
Spellling,84,12,22-Feb-19,Mazy Fly,7.3,0,0.0
The Muffs,84,18,18-Oct-19,No Holiday,tbd,0,0.0
Elbow,84,9,11-Oct-19,Giants of All Sizes,7.6,1,0.1111111111111111
The Delines,84,10,11-Jan-19,The Imperial,7.4,1,0.1
Jenny Hval,84,8,13-Sep-19,The Practice of Love,7.9,1,0.125
Inter Arma,84,9,12-Apr-19,Sulphur English,tbd,7,0.7777777777777778
Kate Tempest,84,11,14-Jun-19,The Book Of Traps and Lessons,8.2,2,0.18181818181818182
Mega Bog,84,10,28-Jun-19,Dolphine,8.6,1,0.1
Bruce Springsteen,84,13,14-Jun-19,Western Stars,7.1,5,0.38461538461538464
Devin Townsend,84,10,29-Mar-19,Empath,8.5,0,0.0
Beth Gibbons,84,0,29-Mar-19,"Henryk Górecki: Symphony No. 3 ""Symphony of Sorrowful Songs"" [Live]",7.9,0,0.0
Jessica Pratt,84,9,8-Feb-19,Quiet Signs,7.7,0,0.0
Thom Yorke,84,10,27-Jun-19,ANIMA,8.8,0,0.0
Leonard Cohen,84,9,22-Nov-19,Thanks for the Dance,7.8,7,0.7777777777777778
Lizzo,84,11,19-Apr-19,Cuz I Love You,7.5,75,6.818181818181818
Peter Perrett,84,12,7-Jun-19,Humanworld,tbd,3,0.25
Sudan Archives,83,14,1-Nov-19,Athena,7.4,6,0.42857142857142855
Danny Brown,83,0,4-Oct-19,uknowhatimsayin¿,8.3,0,0.0
The Comet Is Coming,83,9,15-Mar-19,Trust in the Lifeforce of the Deep Mystery,8.1,0,0.0
Joan Shelley,83,12,30-Aug-19,Like the River Loves the Sea,7.1,0,0.0
Hovvdy,83,13,18-Oct-19,Heavy Lifter,tbd,0,0.0
Tanya Tucker,83,10,23-Aug-19,While I'm Livin',8.7,8,0.8
Mekons,83,9,29-Mar-19,Deserted,tbd,2,0.2222222222222222
Sampa the Great,83,19,13-Sep-19,The Return,7.8,35,1.8421052631578947
Pharmakon,83,5,30-Aug-19,Devour,7.5,0,0.0
6ix9ine,38,13,27-Nov-18,DUMMY BOY,1.9,218,16.76923076923077
XXXTentacion,44,10,7-Dec-18,Skins,3.3,18,1.8
Sting,49,16,20-Apr-18,44/876,6.1,1,0.0625
Lil Xan,49,16,6-Apr-18,Total Xanarchy,2.7,286,17.875
Lil Yachty,50,17,9-Mar-18,Lil Boat 2,5.3,360,21.176470588235293
Post Malone,51,18,27-Apr-18,Beerbongs & Bentleys,6.3,113,6.277777777777778
Lil Yachty,52,15,19-Oct-18,Nuthin' 2 Prove,4.0,229,15.266666666666667
Greta Van Fleet,53,11,19-Oct-18,Anthem of the Peaceful Army,5.7,3,0.2727272727272727
Justin Timberlake,55,16,2-Feb-18,Man of the Woods,6.1,18,1.125
Derek Smalls,56,0,13-Apr-18,Smalls Change (Meditations Upon Ageing),tbd,0,0.0
Craig David,56,15,26-Jan-18,The Time Is Now,6.3,2,0.13333333333333333
Eric Clapton,57,16,12-Oct-18,Happy Xmas,tbd,0,0.0
Miles Kane,57,10,10-Aug-18,Coup de Grace,7.6,0,0.0
Dashboard Confessional,57,9,9-Feb-18,Crooked Shadows,6.2,5,0.5555555555555556
Disturbed,58,14,19-Oct-18,Evolution,6.1,13,0.9285714285714286
Nas,58,7,15-Jun-18,Nasir,7.8,28,4.0
Fall Out Boy,59,10,19-Jan-18,Mania,5.9,18,1.8
Richard Ashcroft,59,10,19-Oct-18,Natural Rebel,8.1,0,0.0
Imagine Dragons,59,12,9-Nov-18,Origins,6.1,0,0.0
The Kooks,59,15,31-Aug-18,Let's Go Sunshine,6.2,7,0.4666666666666667
Mumford & Sons,59,17,16-Nov-18,Delta,6.2,0,0.0
Animal Collective,60,13,17-Aug-18,Tangerine Reef,6.8,0,0.0
Stone Temple Pilots,60,12,16-Mar-18,Stone Temple Pilots [2018],7.7,0,0.0
Pale Waves,61,14,14-Sep-18,My Mind Makes Noises,6.3,3,0.21428571428571427
George Ezra,61,11,23-Mar-18,Staying at Tamara's,7.9,4,0.36363636363636365
Anne-Marie,62,18,27-Apr-18,Speak Your Mind,7.5,22,1.2222222222222223
Eminem,62,13,31-Aug-18,Kamikaze,8.2,189,14.538461538461538
Gengahr,62,0,9-Mar-18,Where Wilderness Grows,8.1,0,0.0
Tom Morello,63,12,12-Oct-18,The Atlas Underground,tbd,22,1.8333333333333333
Kate Nash,63,14,30-Mar-18,Yesterday Was Forever,7.3,16,1.1428571428571428
The Men,63,9,2-Mar-18,Drift,7.2,0,0.0
Nile Rodgers,63,10,28-Sep-18,It's About Time,7.5,4,0.4
Kylie Minogue,63,17,6-Apr-18,Golden,7.7,7,0.4117647058823529
Muse,63,21,9-Nov-18,Simulation Theory,6.8,0,0.0
Kanye West,64,7,1-Jun-18,Ye,7.1,59,8.428571428571429
Ministry,64,9,9-Mar-18,AmeriKKKant,5.9,6,0.6666666666666666
Snow Patrol,64,15,25-May-18,Wildness,7.7,34,2.2666666666666666
Smashing Pumpkins,65,8,16-Nov-18,"Shiny and Oh So Bright, Vol. 1: No Past. No Future. No Sun",6.5,0,0.0
We Are Scientists,65,10,27-Apr-18,Megaplex,tbd,1,0.1
Josh T. Pearson,65,10,13-Apr-18,The Straight Hits!,tbd,1,0.1
A Grave with No Name,65,0,19-Jan-18,Passover,tbd,0,0.0
Unknown Mortal Orchestra,66,7,26-Oct-18,IC-01 Hanoi,6.6,0,0.0
Still Corners,66,10,17-Aug-18,Slow Air,tbd,0,0.0
The Prodigy,66,10,2-Nov-18,No Tourists,6.8,5,0.5
Jungle,66,13,14-Sep-18,For Ever,7.8,2,0.15384615384615385
Jeff Goldblum,66,0,9-Nov-18,The Capitol Studios Sessions,tbd,0,0.0
Ty Segall,66,0,20-Jul-18,Joy,7.1,0,0.0
Lake Street Dive,66,10,4-May-18,Free Yourself Up,6.8,0,0.0
Tinashe,66,17,13-Apr-18,Joyride,7.9,24,1.411764705882353
Fischerspooner,67,13,16-Feb-18,Sir,7.5,12,0.9230769230769231
The Coral,67,11,10-Aug-18,Move Through the Dawn,tbd,0,0.0
Drake,67,25,29-Jun-18,Scorpion,3.9,170,6.8
Kyle Craft,67,10,2-Feb-18,Full Circle Nightmare,7.4,8,0.8
Chromeo,67,12,15-Jun-18,Head Over Heels,7.7,17,1.4166666666666667
Orbital,67,16,14-Sep-18,Monsters Exist,6.7,0,0.0
Shy Boys,67,10,3-Aug-18,Bell House,tbd,0,0.0
Jaakko Eino Kalevi,67,10,12-Oct-18,Out of Touch,tbd,0,0.0
Ray Davies,67,19,29-Jun-18,"Our Country: Americana, Act 2",tbd,0,0.0
A$AP Rocky,67,15,25-May-18,Testing,7.3,166,11.066666666666666
The Voidz,68,15,30-Mar-18,Virtue,8.2,3,0.2
Titus Andronicus,68,7,2-Mar-18,A Productive Cough,5.7,9,1.2857142857142858
MNEK,68,16,7-Sep-18,Language,8.1,7,0.4375
Art Brut,68,12,23-Nov-18,Wham! Bang! Pow! Let's Rock Out!,7.0,5,0.4166666666666667
Neil Finn,68,0,24-Aug-18,Lightsleeper,6.8,0,0.0
Dr. Dog,68,10,27-Apr-18,Critical Equation,6.3,0,0.0
Okkervil River,68,10,27-Apr-18,In the Rainbow Rain,7.1,1,0.1
S. Carey,68,10,23-Feb-18,Hundred Acres,7.1,0,0.0
Moaning,68,10,2-Mar-18,Moaning,7.2,0,0.0
A Place to Bury Strangers,68,20,13-Apr-18,Pinned,7.4,11,0.55
Dean Wareham,68,0,26-Oct-18,Dean Wareham vs. Cheval Sombre,tbd,0,0.0
Josh Rouse,68,9,13-Apr-18,Love in the Modern Age,tbd,0,0.0
Arthur Buck,68,11,15-Jun-18,Arthur Buck,tbd,0,0.0
A Perfect Circle,68,12,20-Apr-18,Eat the Elephant,7.3,5,0.4166666666666667
Bonny Doon,68,10,23-Mar-18,Longwave,tbd,0,0.0
Glen Hansard,68,10,19-Jan-18,Between Two Shores,7.3,0,0.0
Noname,93,11,14-Sep-18,Room 25,8.4,57,5.181818181818182
Rolo Tomassi,92,10,2-Mar-18,Time Will Die and Love Will Bury It,7.1,0,0.0
Architects,90,11,9-Nov-18,Holy Hell,8.9,9,0.8181818181818182
Robyn,89,9,26-Oct-18,Honey,8.5,7,0.7777777777777778
Yves Tumor,89,11,5-Sep-18,Safe In The Hands Of Love,7.9,13,1.1818181818181819
Christine and the Queens,89,11,21-Sep-18,Chris,7.9,12,1.0909090909090908
Kacey Musgraves,89,13,30-Mar-18,Golden Hour,8.6,1,0.07692307692307693
Rival Consoles,88,12,13-Apr-18,Persona,7.8,0,0.0
Jeff Rosenstock,88,11,23-Mar-18,POST-,7.8,5,0.45454545454545453
Idles,88,12,31-Aug-18,Joy As an Act of Resistance,8.2,17,1.4166666666666667
Behemoth,88,13,5-Oct-18,I Loved You at Your Darkest,8.0,5,0.38461538461538464
Marianne Faithfull,88,13,2-Nov-18,Negative Capability,8.0,3,0.23076923076923078
Janelle Monáe,87,0,27-Apr-18,Dirty Computer,8.6,0,0.0
Car Seat Headrest,87,10,16-Feb-18,Twin Fantasy,8.5,13,1.3
Hookworms,87,9,2-Feb-18,Microshift,7.8,0,0.0
