artist,metascore,num_lyric_tracks,release_date,title,user_score,explicit_count,explicit_avg
Vijay Iyer,86,1,25-Aug-17,Far from Over,tbd,0,0.0
The Replacements,86,4,6-Oct-17,For Sale: Live at Maxwell's 1986,7.7,0,0.0
Four Tet,86,14,29-Sep-17,New Energy,8.2,0,0.0
Gas,86,0,21-Apr-17,Narkopop,7.7,0,0.0
Sampha,86,10,3-Feb-17,Process,8.1,1,0.1
Magnetic Fields,86,0,10-Mar-17,50 Song Memoir,7.6,0,0.0
Paul Weller,86,10,12-May-17,A Kind Revolution,7.6,0,0.0
Tinariwen,86,2,10-Feb-17,Elwan,7.8,0,0.0
Rodney Crowell,86,10,31-Mar-17,Close Ties,7.9,8,0.8
Sharon Jones & the Dap-Kings,86,11,17-Nov-17,Soul of a Woman,8.2,0,0.0
LCD Soundsystem,86,11,1-Sep-17,American Dream,8.4,7,0.6363636363636364
PVRIS,86,10,25-Aug-17,"All We Know of Heaven, All We Need of Hell",8.3,4,0.4
Algiers,86,12,23-Jun-17,The Underside of Power,7.9,12,1.0
Bedouine,85,10,23-Jun-17,Bedouine,6.8,0,0.0
Protomartyr,85,12,29-Sep-17,Relatives in Descent,7.9,0,0.0
The National,85,12,8-Sep-17,Sleep Well Beast,8.4,5,0.4166666666666667
The xx,85,13,13-Jan-17,I See You,8.1,0,0.0
Moses Sumney,85,13,22-Sep-17,Aromanticism,8.2,0,0.0
The Moonlandingz,85,11,24-Mar-17,Interplanetary Class Classics,7.0,0,0.0
Laura Marling,85,9,10-Mar-17,Semper Femina,8.0,4,0.4444444444444444
The Weather Station,85,11,6-Oct-17,The Weather Station,6.7,1,0.09090909090909091
Father John Misty,85,14,7-Apr-17,Pure Comedy,7.9,16,1.1428571428571428
Ryuichi Sakamoto,85,14,28-Apr-17,async,7.7,0,0.0
Pwr Bttm,85,13,12-May-17,Pageant,5.5,19,1.4615384615384615
Young Thug,84,14,16-Jun-17,Beautiful Thugger Girls,7.7,146,10.428571428571429
Aimee Mann,84,13,31-Mar-17,Mental Illness,7.8,1,0.07692307692307693
Godflesh,84,10,17-Nov-17,Post Self,tbd,0,0.0
Karine Polwart,84,0,17-Nov-17,A Pocket of Wind Resistance,tbd,0,0.0
"Tyler, The Creator",84,14,21-Jul-17,Flower Boy,8.7,115,8.214285714285714
Seamus Fogarty,84,1,6-Oct-17,The Curious Hand,tbd,0,0.0
Alan Vega,84,9,14-Jul-17,It,tbd,12,1.3333333333333333
Laurel Halo,84,12,23-Jun-17,Dust,7.7,1,0.08333333333333333
Perfume Genius,84,13,5-May-17,No Shape,8.4,0,0.0
Juana Molina,84,13,5-May-17,Halo,7.9,0,0.0
Loyle Carner,84,15,20-Jan-17,Yesterday's Gone,8.4,23,1.5333333333333334
Robert Plant,84,11,13-Oct-17,Carry Fire,8.1,0,0.0
J Hus,84,18,12-May-17,Common Sense,8.2,50,2.7777777777777777
Juliana Hatfield,84,14,28-Apr-17,Pussycat,7.0,14,1.0
Nadia Reid,84,10,3-Mar-17,Preservation,8.0,4,0.4
William Basinski,84,2,20-Jan-17,A Shadow in Time,7.5,0,0.0
Kelela,84,14,6-Oct-17,Take Me Apart,8.3,9,0.6428571428571429
Wiley,84,17,13-Jan-17,Godfather,8.1,25,1.4705882352941178
Vagabon,84,8,24-Feb-17,Infinite Worlds,7.9,1,0.125
Songhoy Blues,84,12,16-Jun-17,Resistance,7.0,0,0.0
Jane Weaver,84,10,19-May-17,Modern Kosmology,7.5,0,0.0
Pumarosa,84,10,19-May-17,The Witch,8.3,4,0.4
Jim Jones & The Righteous Mind,84,0,12-May-17,Super Natural,tbd,0,0.0
Saltland,84,0,31-Mar-17,A Common Truth,tbd,0,0.0
Ibibio Sound Machine,84,1,3-Mar-17,Uyai,7.7,0,0.0
Jesca Hoop,83,9,10-Feb-17,Memories Are Now,8.0,2,0.2222222222222222
Japanese Breakfast,83,12,14-Jul-17,Soft Sounds From Another Planet,8.2,0,0.0
Sheer Mag,83,12,14-Jul-17,Need to Feel Your Love,7.9,0,0.0
Julien Baker,83,11,27-Oct-17,Turn Out the Lights,7.9,2,0.18181818181818182
Sleater-Kinney,83,13,27-Jan-17,Live in Paris,7.7,2,0.15384615384615385
Hurray for the Riff Raff,83,12,10-Mar-17,The Navigator,7.1,5,0.4166666666666667
Mark Lanegan Band,83,0,28-Apr-17,Gargoyle,7.6,0,0.0
Charlie Puth,37,13,29-Jan-16,Nine Track Mind,4.6,1,0.07692307692307693
Various Artists,48,15,18-Mar-16,Star Wars Headspace,4.2,0,0.0
Richard Ashcroft,51,10,20-May-16,These People,7.5,0,0.0
Bloc Party,55,15,29-Jan-16,Hymns,5.5,14,0.9333333333333333
Die Antwoord,55,16,16-Sep-16,Mount Ninji and Da Nice Time Kid,6.2,212,13.25
MSTRKRFT,55,10,22-Jul-16,Operator,tbd,0,0.0
Fitz & the Tantrums,56,12,10-Jun-16,Fitz and the Tantrums,4.4,7,0.5833333333333334
Wiz Khalifa,56,13,5-Feb-16,Khalifa,5.0,206,15.846153846153847
Neil Young,57,10,9-Dec-16,Peace Trail,4.6,2,0.2
Benji Hughes,57,12,29-Jan-16,Songs in the Key of Animals,tbd,0,0.0
Thom Sonny Green,57,21,19-Aug-16,High Anxiety,tbd,0,0.0
Kula Shaker,58,12,12-Feb-16,K 2.0,tbd,4,0.3333333333333333
Choir of Young Believers,59,12,19-Feb-16,Grasque,tbd,0,0.0
Jake Bugg,59,11,17-Jun-16,On My One,6.9,1,0.09090909090909091
Macklemore & Ryan Lewis,59,19,26-Feb-16,This Unruly Mess I've Made,6.1,85,4.473684210526316
Kaiser Chiefs,59,12,7-Oct-16,Stay Together,6.2,14,1.1666666666666667
Robbie Williams,59,16,4-Nov-16,Heavy Entertainment Show,8.4,24,1.5
Simple Minds,59,0,11-Nov-16,Simple Minds Acoustic,tbd,0,0.0
Mr. Oizo,59,15,30-Sep-16,All Wet,7.5,0,0.0
Travis,60,10,29-Apr-16,Everything at Once,7.3,1,0.1
Catfish and the Bottlemen,60,11,27-May-16,The Ride,7.2,6,0.5454545454545454
Meghan Trainor,60,12,13-May-16,Thank You,5.6,6,0.5
Moby & the Void Pacific Choir,61,12,14-Oct-16,These Systems Are Failing,7.6,1,0.08333333333333333
Wolfmother,61,12,19-Feb-16,Victorious,6.4,0,0.0
Wet,61,11,29-Jan-16,Don't You,7.8,0,0.0
Violent Femmes,61,10,4-Mar-16,We Can Do Anything,6.5,1,0.1
Ladyhawke,62,11,3-Jun-16,Wild Things,7.3,4,0.36363636363636365
Cassius,62,10,26-Aug-16,Ibifornia,tbd,4,0.4
Mono,62,0,14-Oct-16,Requiem for Hell,tbd,0,0.0
Steven Tyler,62,15,15-Jul-16,We're All Somebody from Somewhere,7.3,8,0.5333333333333333
Gwen Stefani,62,18,18-Mar-16,This Is What the Truth Feels Like,7.8,16,0.8888888888888888
Yuck,62,11,26-Feb-16,Stranger Things,6.5,0,0.0
Various Artists,62,3,29-Jul-16,Quiero Creedence,tbd,0,0.0
Spectres,62,0,15-Apr-16,Dead,tbd,0,0.0
Kings of Leon,62,10,14-Oct-16,Walls,6.6,0,0.0
Deadmau5,63,14,2-Dec-16,W:/2016ALBUM/,6.7,0,0.0
Faun Fables,63,0,22-Jul-16,Born of the Sun,tbd,0,0.0
Various Artists,63,15,14-Oct-16,Say Yes!: A Tribute to Elliott Smith,tbd,2,0.13333333333333333
Fat White Family,63,10,22-Jan-16,Songs for Our Mothers,tbd,0,0.0
Flowers,63,10,12-Feb-16,Everybody's Dying To Meet You,tbd,0,0.0
Cyndi Lauper,63,12,6-May-16,Detour,6.3,0,0.0
Blink-182,63,16,1-Jul-16,California,7.6,8,0.5
Katy B,63,14,22-Apr-16,Honey,7.6,6,0.42857142857142855
The Dandy Warhols,64,10,8-Apr-16,Distortland,tbd,3,0.3
Pixies,64,12,30-Sep-16,Head Carrier,7.2,6,0.5
Hot Hot Heat,64,10,24-Jun-16,Hot Hot Heat,7.8,0,0.0
Phantogram,64,11,7-Oct-16,Three,7.6,0,0.0
Ronnie Spector,64,14,8-Apr-16,English Heart,tbd,0,0.0
Still Corners,64,11,16-Sep-16,Dead Blue,tbd,0,0.0
Balance & Composure,64,10,7-Oct-16,Light We Made,8.2,2,0.2
Conrad Keely,64,24,22-Jan-16,Original Machines,tbd,1,0.041666666666666664
Travis Scott,64,14,2-Sep-16,Birds In The Trap Sing McKnight,7.7,104,7.428571428571429
The Pop Group,64,0,28-Oct-16,Honeymoon on Mars,5.6,0,0.0
Jack Garratt,64,19,19-Feb-16,Phase,7.4,0,0.0
M.I.A.,65,19,9-Sep-16,AIM,8.1,20,1.0526315789473684
Malcolm Middleton,65,10,27-May-16,Summer of '13,tbd,1,0.1
The Chris Robinson Brotherhood,65,8,29-Jul-16,"Anyway You Love, We Know How You Feel",tbd,1,0.125
The Strumbellas,65,11,22-Apr-16,Hope,5.6,1,0.09090909090909091
Methyl Ethel,65,12,20-May-16,Oh Inhuman Spectacle,tbd,1,0.08333333333333333
Gap Dream,65,0,22-Jul-16,This Is Gap Dream,tbd,0,0.0
Joan as Police Woman,65,1,21-Oct-16,Let It Be You,tbd,0,0.0
Villagers,65,12,8-Jan-16,Where Have You Been All My Life?,6.7,0,0.0
Primal Scream,65,10,18-Mar-16,Chaosmosis,7.3,3,0.3
Santana,65,16,15-Apr-16,Santana IV,7.2,0,0.0
Neil Young,65,13,24-Jun-16,Earth,8.2,2,0.15384615384615385
Red Hot Chili Peppers,66,13,17-Jun-16,The Getaway,7.9,4,0.3076923076923077
Trentemøller,66,0,16-Sep-16,Fixion,tbd,0,0.0
Peter Bjorn and John,66,12,10-Jun-16,Breakin' Point,6.8,1,0.08333333333333333
Edward Sharpe & the Magnetic Zeros,66,10,15-Apr-16,PersonA,7.6,5,0.5
Guided by Voices,66,15,22-Apr-16,Please Be Honest,4.5,0,0.0
M83,66,16,8-Apr-16,Junk,7.9,1,0.0625
2 Chainz,66,13,4-Mar-16,Collegrove,7.4,283,21.76923076923077
Good Charlotte,66,16,15-Jul-16,Youth Authority,6.4,18,1.125
Gonjasufi,66,3,19-Aug-16,Callus,tbd,3,1.0
La Sera,66,10,4-Mar-16,Music For Listening To Music To,tbd,1,0.1
Nick Cave & the Bad Seeds,95,8,9-Sep-16,Skeleton Tree,8.3,1,0.125
Beyoncé,92,0,23-Apr-16,Lemonade,7.8,0,0.0
Leonard Cohen,92,10,21-Oct-16,You Want It Darker,8.3,0,0.0
A Tribe Called Quest,91,17,11-Nov-16,We Got It From Here...Thank You 4 Your Service,8.7,143,8.411764705882353
Chance the Rapper,89,14,13-May-16,Coloring Book [Mixtape],8.3,87,6.214285714285714
Solange,89,21,30-Sep-16,A Seat at the Table,8.4,32,1.5238095238095237
Drive-By Truckers,88,11,30-Sep-16,American Band,7.9,3,0.2727272727272727
Radiohead,88,13,8-May-16,A Moon Shaped Pool,8.9,0,0.0
Run the Jewels,88,14,25-Dec-16,Run the Jewels 3,8.7,151,10.785714285714286
Common,88,15,4-Nov-16,Black America Again,7.2,12,0.8
Robbie Fulks,87,12,1-Apr-16,Upland Stories,4.2,1,0.08333333333333333
David Bowie,87,8,8-Jan-16,Blackstar,8.8,18,2.25
Angel Olsen,87,10,2-Sep-16,My Woman,8.5,1,0.1
Frank Ocean,87,17,20-Aug-16,Blonde,8.8,93,5.470588235294118
Mitski,87,12,17-Jun-16,Puberty 2,8.6,0,0.0
NAILS,87,0,17-Jun-16,You Will Never Be One of Us,6.6,0,0.0
Bon Iver,87,10,30-Sep-16,"22, A Million",8.3,6,0.6
Ital Tek,86,13,18-Mar-16,Hollowed,8.0,0,0.0
Sturgill Simpson,86,9,15-Apr-16,A Sailor's Guide to Earth,8.1,12,1.3333333333333333
Michael Kiwanuka,86,10,15-Jul-16,Love & Hate,8.5,0,0.0
Maxwell,86,12,1-Jul-16,blackSUMMERS'night (2016),8.3,0,0.0
Ian William Craig,86,13,8-Jul-16,Centres,7.5,0,0.0
Car Seat Headrest,86,15,20-May-16,Teens of Denial,8.3,47,3.1333333333333333
The Dillinger Escape Plan,86,11,14-Oct-16,Dissociation,8.1,8,0.7272727272727273
Margo Price,86,10,25-Mar-16,Midwest Farmer's Daughter,7.9,6,0.6
William Bell,86,12,3-Jun-16,This Is Where I Live,8.2,0,0.0
Teho Teardo,86,0,22-Apr-16,Nerissimo,7.2,0,0.0
Kendrick Lamar,86,8,4-Mar-16,untitled unmastered.,8.4,57,7.125
Paul Simon,85,16,3-Jun-16,Stranger to Stranger,8.0,5,0.3125
Neurosis,85,5,23-Sep-16,Fires Within Fires,7.3,0,0.0
Anderson .Paak,85,17,15-Jan-16,Malibu,8.6,56,3.2941176470588234
Danny Brown,85,16,27-Sep-16,Atrocity Exhibition,8.7,150,9.375
The Hotelier,85,13,27-May-16,Goodness,7.8,1,0.07692307692307693
Aesop Rock,85,18,29-Apr-16,The Impossible Kid,8.6,45,2.5
John K. Samson,85,15,21-Oct-16,Winter Wheat,8.3,0,0.0
Kevin Morby,84,10,15-Apr-16,Singing Saw,7.9,1,0.1
Kate Bush,84,29,2-Dec-16,Before the Dawn [Live],8.4,5,0.1724137931034483
Esperanza Spalding,84,14,4-Mar-16,Emily's D+Evolution,7.8,3,0.21428571428571427
Nels Cline,84,18,5-Aug-16,Lovers,7.2,0,0.0
Loretta Lynn,84,14,4-Mar-16,Full Circle,7.5,1,0.07142857142857142
Kate Tempest,84,13,7-Oct-16,Let Them Eat Chaos,7.9,19,1.4615384615384615
Touche Amore,84,12,16-Sep-16,Stage Four,8.1,0,0.0
Virginia Wing,84,10,11-Nov-16,Forward Constant Motion,tbd,0,0.0
Pinegrove,84,9,12-Feb-16,Cardinal,8.1,3,0.3333333333333333
Jenny Hval,84,12,30-Sep-16,Blood Bitch,8.0,2,0.16666666666666666
BJ the Chicago Kid,84,15,19-Feb-16,In My Mind,7.3,44,2.933333333333333
Karl Blau,84,10,13-May-16,Introducing Karl Blau,6.6,0,0.0
Anna Meredith,84,11,4-Mar-16,Varmints,7.7,0,0.0
Little Simz,84,16,16-Dec-16,Stillness In Wonderland,8.4,88,5.5
Helen Money,84,8,16-Sep-16,Become Zero,tbd,0,0.0
Moodymann,83,0,19-Feb-16,DJ-Kicks,7.6,0,0.0
Lambchop,83,11,4-Nov-16,FLOTUS,8.1,1,0.09090909090909091
Bob Mould,83,12,25-Mar-16,Patch the Sky,7.4,1,0.08333333333333333
Skepta,83,14,6-May-16,Konnichiwa,7.8,73,5.214285714285714
Colin Stetson,83,0,8-Apr-16,Sorrow: Reimagining of Gorecki's 3rd Symphony,7.8,0,0.0
Andy Shauf,83,10,20-May-16,The Party,8.6,7,0.7
Whitney,83,11,3-Jun-16,Light Upon the Lake,8.7,0,0.0
Kyle Dixon,83,36,12-Aug-16,"Stranger Things, Vol. 1 [Original Television Series Soundtrack]",8.3,0,0.0
King Gizzard & the Lizard Wizard,83,10,29-Apr-16,Nonagon Infinity,8.7,6,0.6
Neko Case,83,0,17-Jun-16,case/lang/veirs,7.9,0,0.0
YG,83,17,17-Jun-16,Still Brazy,8.5,371,21.823529411764707
The Avalanches,83,24,8-Jul-16,Wildflower,8.3,50,2.0833333333333335
Damien Jurado,83,17,18-Mar-16,Visions of Us on the Land,8.1,0,0.0
Lucinda Williams,83,14,5-Feb-16,The Ghosts of Highway 20,7.5,6,0.42857142857142855
Freakwater,83,0,5-Feb-16,Scheherazade,tbd,0,0.0
Emma Pollock,83,11,26-Feb-16,In Search of Harperfield,7.0,1,0.09090909090909091
Steve Gunn,83,9,3-Jun-16,Eyes on the Lines,6.9,0,0.0
Adrian Younge,83,11,22-Jan-16,Something About April II,7.7,0,0.0
Grant-Lee Philips,83,13,18-Mar-16,The Narrows,5.2,1,0.07692307692307693
Anohni,83,12,6-May-16,Hopelessness,8.2,1,0.08333333333333333
School of Seven Bells,83,9,26-Feb-16,SVIIB,7.7,1,0.1111111111111111
Greys,83,10,22-Apr-16,Outer Heaven,6.4,2,0.2
King,83,12,5-Feb-16,We Are King,7.8,0,0.0
Oren Ambarchi,83,0,28-Oct-16,Hubris,tbd,0,0.0
Wadada Leo Smith,83,0,14-Oct-16,America's National Parks,tbd,0,0.0
Kodaline,51,16,24-Mar-15,Coming Up for Air,3.9,1,0.0625
Matt and Kim,52,10,7-Apr-15,New Glow,5.3,5,0.5
Pope Francis I,52,1,27-Nov-15,Wake Up!,5.4,0,0.0
The Neighbourhood,53,11,30-Oct-15,Wiped Out!,8.2,2,0.18181818181818182
Prince,53,11,7-Sep-15,HitNRun: Phase One,4.3,3,0.2727272727272727
Mumford & Sons,54,12,4-May-15,Wilder Mind,5.2,2,0.16666666666666666
Anti-Flag,54,15,26-May-15,American Spring,5.5,10,0.6666666666666666
Giorgio Moroder,54,15,12-Jun-15,Déjà-Vu,6.2,3,0.2
Zac Brown Band,55,16,28-Apr-15,Jekyll + Hyde,6.1,3,0.1875
Kylie Minogue,55,16,13-Nov-15,Kylie Christmas,7.0,1,0.0625
Kid Ink,55,16,3-Feb-15,Full Speed,4.8,124,7.75
Lieutenant,56,0,10-Mar-15,If I Kill This Thing We're All Going to Eat for a Week,tbd,0,0.0
Todd Rundgren,57,12,7-Apr-15,Global,7.0,3,0.25
Cee Lo Green,57,15,13-Nov-15,Heart Blanche,5.4,0,0.0
Brian Wilson,57,16,7-Apr-15,No Pier Pressure,7.1,1,0.0625
Rod Stewart,57,17,23-Oct-15,Another Country,8.6,3,0.17647058823529413
Scott Weiland & the Wildabouts,57,1,31-Mar-15,Blaster,6.3,0,0.0
Simply Red,58,12,2-Jun-15,Big Love,tbd,1,0.08333333333333333
The Wombats,58,13,14-Apr-15,Glitterbug,6.7,7,0.5384615384615384
James Bay,58,15,24-Mar-15,Chaos and the Calm,7.4,1,0.06666666666666667
Bullet For My Valentine,58,15,14-Aug-15,Venom,7.2,29,1.9333333333333333
Diana Krall,58,16,3-Feb-15,Wallflower,6.9,0,0.0
Meghan Trainor,59,15,13-Jan-15,Title,6.1,11,0.7333333333333333
Method Man,59,19,21-Aug-15,The Meth Lab,4.6,145,7.631578947368421
Peace,59,18,9-Feb-15,Happy People,7.4,3,0.16666666666666666
Coldplay,60,13,4-Dec-15,A Head Full of Dreams,6.8,1,0.07692307692307693
R. Kelly,60,20,11-Dec-15,The Buffet,5.7,154,7.7
Ciara,60,11,4-May-15,Jackie,6.3,50,4.545454545454546
Imagine Dragons,60,13,17-Feb-15,Smoke + Mirrors,7.6,2,0.15384615384615385
Ne-Yo,60,23,27-Jan-15,Non-Fiction,6.5,54,2.347826086956522
Gang of Four,60,10,24-Feb-15,What Happens Next,6.0,1,0.1
Miley Cyrus,60,23,30-Aug-15,Miley Cyrus & Her Dead Petz,6.9,81,3.5217391304347827
Neil Young,61,9,29-Jun-15,The Monsanto Years,5.8,1,0.1111111111111111
Kid Rock,61,11,24-Feb-15,First Kiss,2.2,17,1.5454545454545454
Ringo Starr,61,11,31-Mar-15,Postcards from Paradise,6.1,2,0.18181818181818182
Hurts,61,14,9-Oct-15,Surrender,7.4,1,0.07142857142857142
JEFF the Brotherhood,61,11,24-Mar-15,Wasted on the Dream,tbd,1,0.09090909090909091
Lil Durk,61,12,2-Jun-15,Remember My Name,7.7,249,20.75
The Zombies,61,10,9-Oct-15,Still Got That Hunger,tbd,3,0.3
Nate Ruess,61,12,16-Jun-15,Grand Romantic,5.2,1,0.08333333333333333
Laura Welsh,61,11,10-Mar-15,Soft Control,6.9,1,0.09090909090909091
Funeral For A Friend,61,12,19-Jan-15,Chapter & Verse,5.3,10,0.8333333333333334
The Strypes,61,6,24-Jul-15,Little Victories,8.0,0,0.0
Rick Ross,61,17,4-Dec-15,Black Market,6.6,205,12.058823529411764
Iron And Wine & Ben Bridwell,61,12,17-Jul-15,Sing Into My Mouth,6.8,0,0.0
Surfer Blood,62,11,12-May-15,1000 Palms,6.6,0,0.0
Joss Stone,62,15,31-Jul-15,Water for Your Soul,6.4,1,0.06666666666666667
MS MR,62,12,17-Jul-15,How Does It Feel,7.1,0,0.0
Twin Shadow,62,11,17-Mar-15,Eclipse,6.2,0,0.0
The Fratellis,62,16,21-Aug-15,"Eyes Wide, Tongue Tied",8.5,6,0.375
The Bohicas,62,13,21-Aug-15,The Making Of,tbd,7,0.5384615384615384
Lucy Rose,62,17,6-Jul-15,Work It Out,8.6,0,0.0
Portico,62,9,7-Apr-15,Living Fields,tbd,0,0.0
Muse,63,13,9-Jun-15,Drones,7.2,19,1.4615384615384615
Todd Rundgren,63,0,4-May-15,Runddans,tbd,0,0.0
Liturgy,63,10,24-Mar-15,The Ark Work,7.7,0,0.0
Of Monsters and Men,63,15,9-Jun-15,Beneath the Skin,7.8,0,0.0
Prince,63,12,12-Dec-15,HITnRUN: Phase Two,6.4,1,0.08333333333333333
Ludacris,63,20,31-Mar-15,Ludaversal,6.8,162,8.1
And So I Watch You from Afar,63,10,5-May-15,Heirs,8.1,0,0.0
Tanlines,63,10,19-May-15,Highlights,5.2,0,0.0
Kelly Clarkson,63,13,3-Mar-15,Piece by Piece,5.4,9,0.6923076923076923
Raekwon,63,14,28-Apr-15,Fly International Luxurious Art,6.8,118,8.428571428571429
Nosaj Thing,63,15,4-May-15,Fated,4.9,1,0.06666666666666667
Stereophonics,63,13,11-Sep-15,Keep the Village Alive,7.9,3,0.23076923076923078
Radkey,63,13,21-Aug-15,Dark Black Makeup,7.4,4,0.3076923076923077
The Darkness,63,14,2-Jun-15,Last of Our Kind,7.7,6,0.42857142857142855
Justin Bieber,63,23,13-Nov-15,Purpose,6.2,2,0.08695652173913043
Travis Scott,64,14,4-Sep-15,Rodeo,8.5,215,15.357142857142858
Soulsavers,64,8,4-Dec-15,Kubrick,tbd,0,0.0
Estelle,64,12,17-Feb-15,True Romance,6.4,12,1.0
Briana Marela,64,9,21-Aug-15,All Around Us,tbd,0,0.0
Vetiver,64,10,24-Mar-15,Complete Strangers,7.3,0,0.0
Little Boots,64,14,10-Jul-15,Working Girl,8.3,0,0.0
Duran Duran,64,15,11-Sep-15,Paper Gods,7.2,1,0.06666666666666667
Kendrick Lamar,96,17,16-Mar-15,To Pimp a Butterfly,8.8,189,11.117647058823529
Sufjan Stevens,90,12,31-Mar-15,Carrie & Lowell,8.9,2,0.16666666666666666
Sleater-Kinney,90,11,20-Jan-15,No Cities to Love,8.2,0,0.0
Napalm Death,89,15,27-Jan-15,Apex Predator - Easy Meat,7.2,1,0.06666666666666667
Sam Lee,89,1,16-Mar-15,The Fade in Time,5.6,0,0.0
Steven Wilson,89,11,3-Mar-15,Hand.Cannot.Erase.,8.7,2,0.18181818181818182
Joanna Newsom,88,12,23-Oct-15,Divers,8.2,1,0.08333333333333333
Courtney Barnett,88,13,24-Mar-15,"Sometimes I Sit And Think, And Sometimes I Just Sit",8.5,3,0.23076923076923078
Bring Me the Horizon,88,11,11-Sep-15,That's the Spirit,7.0,24,2.1818181818181817
Mbongwana Star,88,0,19-May-15,From Kinshasa,5.3,0,0.0
Grimes,88,15,11-Dec-15,Art Angels,8.9,3,0.2
James McMurtry,87,12,24-Feb-15,Complicated Game,8.2,6,0.5
Julia Holter,87,10,25-Sep-15,Have You in My Wilderness,8.6,0,0.0
Jason Isbell,87,11,17-Jul-15,Something More Than Free,8.2,3,0.2727272727272727
John Howard & The Night Mail,87,1,21-Aug-15,John Howard & the Night Mail,7.6,0,0.0
Susanne Sundfør,87,0,16-Feb-15,Ten Love Songs,8.9,0,0.0
Hiatus Kaiyote,87,18,4-May-15,Choose Your Weapon,8.5,0,0.0
Hop Along,87,10,4-May-15,Painted Shut,8.4,2,0.2
Vince Staples,87,20,30-Jun-15,Summertime '06,8.6,120,6.0
Björk,87,0,20-Jan-15,Vulnicura,8.8,0,0.0
Father John Misty,87,12,10-Feb-15,"I Love You, Honeybear",8.6,11,0.9166666666666666
Various Artists,87,11,26-May-15,Remembering Mountains: Unheard Songs By Karen Dalton,7.2,1,0.09090909090909091
Jamie xx,87,13,2-Jun-15,In Colour,8.7,10,0.7692307692307693
Dave Rawlings Machine,87,7,18-Sep-15,Nashville Obsolete,7.1,0,0.0
Natalie Prass,86,9,27-Jan-15,Natalie Prass,8.0,0,0.0
Jlin,86,11,24-Mar-15,Dark Energy,7.1,0,0.0
Ashley Monroe,86,13,24-Jul-15,The Blade,8.1,8,0.6153846153846154
Drive-By Truckers,86,0,30-Oct-15,It's Great to Be Alive! [Live],8.7,0,0.0
Various Artists,86,0,30-Oct-15,Joy of Living: A Tribute to Ewan Maccoll,tbd,0,0.0
Jim O'Rourke,86,8,19-May-15,Simple Songs,8.4,0,0.0
Donnie Trumpet & The Social Experiment,86,16,29-May-15,Surf,8.2,25,1.5625
Destroyer,86,14,28-Aug-15,Poison Season,8.0,32,2.2857142857142856
Protomartyr,85,12,9-Oct-15,The Agent Intellect,8.2,0,0.0
Jazmine Sullivan,85,12,13-Jan-15,Reality Show,8.7,33,2.75
Christine and the Queens,85,12,16-Oct-15,Christine and the Queens,8.8,0,0.0
The Weather Station,85,11,12-May-15,Loyalty,tbd,0,0.0
Baroness,85,10,18-Dec-15,Purple,8.6,2,0.2
Joan Shelley,85,0,4-Sep-15,Over and Even,tbd,0,0.0
Bassekou Kouyate & Ngoni Ba,85,0,12-May-15,Ba Power,6.3,0,0.0
Pusha T,85,12,18-Dec-15,King Push - Darkest Before Dawn: The Prelude,8.4,141,11.75
Floating Points,85,8,6-Nov-15,Elaenia,8.5,0,0.0
C Duncan,85,12,17-Jul-15,Architect,tbd,0,0.0
Deafheaven,85,5,2-Oct-15,New Bermuda,8.7,5,1.0
Stornoway,85,11,13-Apr-15,Bonxie,7.6,0,0.0
Levon Vincent,85,0,10-Feb-15,Levon Vincent,7.6,0,0.0
Lightning Bolt,84,9,24-Mar-15,Fantasy Empire,7.3,0,0.0
Rhiannon Giddens,84,11,10-Feb-15,Tomorrow Is My Turn,8.5,0,0.0
Mini Mansions,84,11,24-Mar-15,The Great Pretenders,8.8,2,0.18181818181818182
Haiku Salut,84,0,31-Jul-15,Etch And Etch Deep,7.0,0,0.0
Bop English,84,6,14-Apr-15,Constant Bop,8.1,1,0.16666666666666666
Eric Church,84,10,3-Nov-15,Mr. Misunderstood,7.8,14,1.4
Allison Moorer,84,13,17-Mar-15,Down to Believing,tbd,1,0.07692307692307693
Miguel,84,16,29-Jun-15,Wildheart,8.4,58,3.625
Tame Impala,84,13,17-Jul-15,Currents,8.8,4,0.3076923076923077
Dwight Yoakam,84,12,14-Apr-15,Second Hand Heart,8.2,1,0.08333333333333333
Godspeed You! Black Emperor,84,4,31-Mar-15,"Asunder, Sweet and Other Distress",8.1,0,0.0
Heather Leigh,84,0,27-Nov-15,I Abused Animal,tbd,0,0.0
The Bad Plus,84,0,26-May-15,The Bad Plus Joshua Redman,tbd,0,0.0
Boz Scaggs,84,12,31-Mar-15,A Fool to Care,tbd,6,0.5
BC Camplight,84,4,20-Jan-15,How to Die in the North,8.2,2,0.5
Kamasi Washington,83,18,5-May-15,The Epic,8.8,0,0.0
Gwenno,83,10,31-Jul-15,Y Dydd Olaf,8.3,0,0.0
LoneLady,83,9,24-Mar-15,Hinterland,7.4,0,0.0
Speedy Ortiz,83,12,21-Apr-15,Foil Deer,7.6,0,0.0
Young Fathers,83,12,7-Apr-15,White Men Are Black Men Too,8.1,7,0.5833333333333334
Container,83,0,9-Jun-15,LP [2015],tbd,0,0.0
Songhoy Blues,83,11,23-Feb-15,Music in Exile,7.3,0,0.0
Gretchen Peters,83,11,10-Feb-15,Blackbirds,8.0,18,1.6363636363636365
Royal Headache,83,10,21-Aug-15,High,7.7,0,0.0
Myrkur,83,11,21-Aug-15,M,8.7,0,0.0
