2019,2018,2017,2016,2015
Reward,In a Poem Unlimited,For Sale: Live at Maxwell's 1986,blackSUMMERS'night (2016),"I Love You, Honeybear"
87,87,86,86,87
Cate Le Bon,U.S. Girls,The Replacements,Maxwell,Father John Misty
User: 8.0,User: 8.3,User: 7.7,User: 8.3,User: 8.6
24-May-19,16-Feb-18,6-Oct-17,1-Jul-16,10-Feb-15
Purple Mountains,Cocoa Sugar,New Energy,Centres,Remembering Mountains: Unheard Songs By Karen Dalton
87,87,86,86,87
Purple Mountains,Young Fathers,Four Tet,Ian William Craig,Various Artists
User: 7.8,User: 8.7,User: 8.2,User: 7.5,User: 7.2
12-Jul-19,9-Mar-18,29-Sep-17,8-Jul-16,26-May-15
Norman Fucking Rockwell!,Freedom,Narkopop,Teens of Denial,In Colour
87,87,86,86,87
Lana Del Rey,Amen Dunes,Gas,Car Seat Headrest,Jamie xx
User: 9.2,User: 8.2,User: 7.7,User: 8.3,User: 8.7
30-Aug-19,30-Mar-18,21-Apr-17,20-May-16,2-Jun-15
Remind Me Tomorrow,Isolation,Process,Dissociation,Nashville Obsolete
86,87,86,86,87
Sharon Van Etten,Kali Uchis,Sampha,The Dillinger Escape Plan,Dave Rawlings Machine
User: 8.1,User: 8.6,User: 8.1,User: 8.1,User: 7.1
18-Jan-19,6-Apr-18,3-Feb-17,14-Oct-16,18-Sep-15
"thank u, next",Springsteen on Broadway,50 Song Memoir,Midwest Farmer's Daughter,Natalie Prass
86,87,86,86,86
Ariana Grande,Bruce Springsteen,Magnetic Fields,Margo Price,Natalie Prass
User: 7.2,User: 7.8,User: 7.6,User: 7.9,User: 8.0
8-Feb-19,14-Dec-18,10-Mar-17,25-Mar-16,27-Jan-15
Midsommar [Original Motion Picture Soundtrack],Oil Of Every Pearl's Un-Insides,A Kind Revolution,This Is Where I Live,Dark Energy
86,86,86,86,86
Bobby Krlic,SOPHIE,Paul Weller,William Bell,Jlin
User: 8.0,User: 8.3,User: 7.6,User: 8.2,User: 7.1
5-Jul-19,15-Jun-18,12-May-17,3-Jun-16,24-Mar-15
House of Sugar,Sparrow,Elwan,Nerissimo,The Blade
86,86,86,86,86
(Sandy) Alex G,Ashley Monroe,Tinariwen,Teho Teardo,Ashley Monroe
User: 8.7,User: 6.6,User: 7.8,User: 7.2,User: 8.1
13-Sep-19,20-Apr-18,10-Feb-17,22-Apr-16,24-Jul-15
Dogrel,Tracyanne & Danny,Close Ties,untitled unmastered.,It's Great to Be Alive! [Live]
86,86,86,86,86
Fontaines DC,Tracyanne & Danny,Rodney Crowell,Kendrick Lamar,Drive-By Truckers
User: 8.1,User: 7.3,User: 7.9,User: 8.4,User: 8.7
12-Apr-19,25-May-18,31-Mar-17,4-Mar-16,30-Oct-15
Punk,Jericho Sirens,Soul of a Woman,Stranger to Stranger,Joy of Living: A Tribute to Ewan Maccoll
86,86,86,85,86
Chai,Hot Snakes,Sharon Jones & the Dap-Kings,Paul Simon,Various Artists
User: 7.2,User: 7.9,User: 8.2,User: 8.0,User: tbd
15-Mar-19,16-Mar-18,17-Nov-17,3-Jun-16,30-Oct-15
There is No Other,Remain In Light,American Dream,Fires Within Fires,Simple Songs
86,86,86,85,86
Rhiannon Giddens,Angélique Kidjo,LCD Soundsystem,Neurosis,Jim O'Rourke
User: 7.5,User: 8.0,User: 8.4,User: 7.3,User: 8.4
3-May-19,8-Jun-18,1-Sep-17,23-Sep-16,19-May-15
Badbea,Heaven & Earth,"All We Know of Heaven, All We Need of Hell",Malibu,Surf
85,86,86,85,86
Edwyn Collins,Kamasi Washington,PVRIS,Anderson .Paak,Donnie Trumpet & The Social Experiment
User: tbd,User: 8.0,User: 8.3,User: 8.6,User: 8.2
29-Mar-19,22-Jun-18,25-Aug-17,15-Jan-16,29-May-15
Morbid Stuff,Radyo Siwèl,The Underside of Power,Atrocity Exhibition,Poison Season
85,86,86,85,86
PUP,Mélissa Laveaux,Algiers,Danny Brown,Destroyer
User: 8.3,User: tbd,User: 7.9,User: 8.7,User: 8.0
5-Apr-19,23-Mar-18,23-Jun-17,27-Sep-16,28-Aug-15
ZUU,Double Negative,Bedouine,Goodness,The Agent Intellect
85,86,85,85,85
Denzel Curry,Low,Bedouine,The Hotelier,Protomartyr
User: 7.9,User: 8.0,User: 6.8,User: 7.8,User: 8.2
31-May-19,14-Sep-18,23-Jun-17,27-May-16,9-Oct-15
All My Heroes Are Cornballs,To the Sunset,Relatives in Descent,The Impossible Kid,Reality Show
85,86,85,85,85
JPEGMAFIA,Amanda Shires,Protomartyr,Aesop Rock,Jazmine Sullivan
User: 8.7,User: 7.4,User: 7.9,User: 8.6,User: 8.7
13-Sep-19,3-Aug-18,29-Sep-17,29-Apr-16,13-Jan-15
Walk Through Fire,(After) [Live],Sleep Well Beast,Winter Wheat,Christine and the Queens
85,86,85,85,85
Yola,Mount Eerie,The National,John K. Samson,Christine and the Queens
User: 8.3,User: tbd,User: 8.4,User: 8.3,User: 8.8
