2019,2018,2017,2016,2015
18-Oct-19,4-May-18,19-May-17,22-Jan-16,3-Feb-15
Everything's For Sale,Look Now,Goths,Oh No,The Most Important Place in the World
82,83,83,82,82
Boogie,Elvis Costello & the Imposters,The Mountain Goats,Jessy Lanza,Bill Wells
User: 8.4,User: 7.3,User: 7.8,User: 8.1,User: tbd
25-Jan-19,12-Oct-18,19-May-17,13-May-16,16-Mar-15
"When We All Fall Asleep, Where Do We Go?",Dose Your Dreams,Stubborn Persistent Illusions,I Had a Dream That You Were Mine,Male Eunuch
82,83,83,82,82
Billie Eilish,Fucked Up,Do Make Say Think,Hamilton Leithauser,The Pre New
User: 7.4,User: 7.6,User: 7.6,User: 8.3,User: tbd
29-Mar-19,5-Oct-18,19-May-17,23-Sep-16,11-May-15
Saves the World,Saturn,Life Will See You Now,For All We Know,Me
82,83,83,82,82
MUNA,nao,Jens Lekman,nao,Empress Of
User: 8.6,User: 8.1,User: 7.8,User: 8.4,User: 8.4
6-Sep-19,26-Oct-18,17-Feb-17,29-Jul-16,11-Sep-15
Texas Piano Man,The Prodigal Son,Pretty Girls Like Trap Music,All Our Gods Have Abandoned Us,Compton
82,83,82,82,82
Robert Ellis,Ry Cooder,2 Chainz,Architects,Dr. Dre
User: tbd,User: 6.8,User: 7.1,User: 8.8,User: 8.3
14-Feb-19,11-May-18,16-Jun-17,27-May-16,7-Aug-15
Resonant Body,Loner,Utopia,Citizen of Glass,Africa Express Presents...Terry Riley's In C Mali
82,83,82,82,82
Octo Octa,Caroline Rose,Björk,Agnes Obel,Africa Express
User: 6.8,User: 7.9,User: 7.6,User: 8.3,User: tbd
6-Sep-19,23-Feb-18,24-Nov-17,21-Oct-16,26-Jan-15
Stonechild,Beyondless,Peasant,Too Many Voices,"Grey Tickles, Black Pressure"
82,83,82,82,82
Jesca Hoop,Iceage,Richard Dawson,Andy Stott,John Grant
User: 7.6,User: 8.1,User: 8.1,User: 7.7,User: 7.6
5-Jul-19,4-May-18,2-Jun-17,22-Apr-16,9-Oct-15
I Made a Place,All Melody,Brick Body Kids Still Daydream,Burn Something Beautiful,Piteous Gate
82,83,82,82,82
"Bonnie ""Prince"" Billy",Nils Frahm,Open Mike Eagle,Alejandro Escovedo,M.E.S.H.
User: 7.7,User: 8.1,User: 8.1,User: tbd,User: tbd
15-Nov-19,26-Jan-18,15-Sep-17,28-Oct-16,31-Jul-15
When I Have Fears,Mozart's Mini-Mart,Gang Signs & Prayer,NOTU_URONLINEU,Sauna
82,83,82,82,82
The Murder Capital,Go-Kart Mozart,Stormzy,Hi:Emotions,Mount Eerie
User: 7.9,User: 7.2,User: 7.5,User: tbd,User: 7.8
16-Aug-19,23-Feb-18,24-Feb-17,14-Oct-16,3-Feb-15
Nothing Great About Britain,Follow Them True,Southern Blood,Ears,Mutilator Defeated at Last
82,83,82,82,82
slowthai,Stick in the Wheel,Gregg Allman,Kaitlyn Aurelia Smith,Thee Oh Sees
User: 8.0,User: 7.6,User: tbd,User: 7.4,User: 8.5
17-May-19,26-Jan-18,8-Sep-17,1-Apr-16,26-May-15
Polymer,Future Me Hates Me,Ty Segall (2017),"Love Songs, Pt. 2",Cortar Todo
82,83,82,82,82
Plaid,The Beths,Ty Segall,Romare,Zu
User: 6.4,User: 8.2,User: 7.9,User: 5.6,User: tbd
7-Jun-19,10-Aug-18,27-Jan-17,11-Nov-16,23-Mar-15
Anak Ko,Electric Messiah,Dark Matter,Black Peak,Matador
82,83,82,82,82
Jay Som,High on Fire,Randy Newman,Xylouris White,Gaz Coombes
User: 8.2,User: 7.6,User: 7.6,User: tbd,User: 8.4
23-Aug-19,5-Oct-18,4-Aug-17,7-Oct-16,26-Jan-15
We Get By,Street Safari,Stranger in the Alps,Jet Plane And Oxbow,Zoy Zoy
82,83,82,82,82
Mavis Staples,Public Access T.V.,Phoebe Bridgers,Shearwater,Tal National
User: 7.1,User: 7.3,User: 8.6,User: 7.5,User: tbd
24-May-19,23-Feb-18,22-Sep-17,22-Jan-16,13-Apr-15
Rammstein,God's Favorite Customer,The Assassination of Julius Caesar,Lodestar,Fading Frontier
82,83,82,82,81
Rammstein,Father John Misty,Ulver,Shirley Collins,Deerhunter
User: 8.6,User: 8.0,User: 8.1,User: 4.8,User: 8.4
17-May-19,1-Jun-18,7-Apr-17,4-Nov-16,16-Oct-15
Midnight,Songs of Praise,All American Made,Running out of Love,Never Were the Way She Was
82,83,82,82,81
Stef Chura,Shame,Margo Price,The Radio Dept.,Sarah Neufeld
User: tbd,User: 7.7,User: 7.6,User: 7.6,User: 7.6
7-Jun-19,12-Jan-18,20-Oct-17,21-Oct-16,28-Apr-15
Sirens,Age Of,Towards Language,Human Performance,Faded Gloryville
82,83,82,82,81
Kevin Richard Martin,Oneohtrix Point Never,Arve Henriksen,Parquet Courts,Lindi Ortega
User: tbd,User: 7.8,User: tbd,User: 8.1,User: 6.8
7-Jun-19,1-Jun-18,2-Jun-17,8-Apr-16,7-Aug-15
Good at Falling,A Brief Inquiry Into Online Relationships,Burning the Threshold,Treasure House,Gandadiko
82,83,82,82,81
The Japanese House,The 1975,Six Organs of Admittance,Cat's Eyes,Samba Touré
User: 8.5,User: 8.1,User: 8.4,User: 6.0,User: tbd
1-Mar-19,30-Nov-18,24-Feb-17,3-Jun-16,3-Feb-15
How to Live,Abysskiss,Everybody Works,Honest Life,Ivy Tripp
82,83,82,82,81
Modern Nature,Adrianne Lenker,Jay Som,Courtney Marie Andrews,Waxahatchee
User: tbd,User: 8.1,User: 7.8,User: tbd,User: 7.8
23-Aug-19,5-Oct-18,10-Mar-17,19-Aug-16,7-Apr-15
I Was Real,New Hymn to Freedom,Big Machine,Third Law,More Faithful
82,83,82,82,81
75 Dollar Bill,Szun Waves,Eliza Carthy,Roly Porter,No Joy
User: tbd,User: 7.7,User: 7.4,User: 7.3,User: 7.5
28-Jun-19,31-Aug-18,3-Feb-17,22-Jan-16,9-Jun-15
Analog Fluids of Sonic Black Holes,What a Time to Be Alive,Tourist in This Town,The Dreaming Room,Expect Delays
82,83,82,82,81
Moor Mother,Superchunk,Allison Crutchfield,Laura Mvula,Evans the Death
User: tbd,User: 7.9,User: 7.8,User: 8.5,User: tbd
8-Nov-19,16-Feb-18,27-Jan-17,17-Jun-16,10-Mar-15
Heavy is the Head,All That Reckoning,Ascending a Mountain of Heavy Light,Epic Jammers and Fortunate Little Ditties,After
82,83,82,82,81
Stormzy,Cowboy Junkies,The Body,"Bonnie ""Prince"" Billy",Lady Lamb the Beekeeper
User: 7.7,User: 7.6,User: tbd,User: tbd,User: 8.0
13-Dec-19,13-Jul-18,17-Nov-17,18-Mar-16,3-Mar-15
Cows on Hourglass Pond,Hive Mind,4:44,Adore Life,If I've Only One Time Askin'
82,83,82,82,81
Avey Tare,The Internet,Jay-Z,Savages,Daniel Romano
User: 8.1,User: 8.0,User: 7.3,User: 7.7,User: tbd
22-Mar-19,20-Jul-18,30-Jun-17,22-Jan-16,31-Jul-15
2020,Years,The Nashville Sound,Little Seeds,Platform
82,82,82,82,81
Richard Dawson,Sarah Shook & the Disarmers,Jason Isbell and the 400 Unit,Shovels & Rope,Holly Herndon
User: 8.4,User: tbd,User: 7.7,User: 6.3,User: 7.9
11-Oct-19,6-Apr-18,16-Jun-17,7-Oct-16,19-May-15
Vagabon,Lavender,Joan Shelley,Furnaces,Goon
82,82,82,82,81
Vagabon,Half Waif,Joan Shelley,Ed Harcourt,Tobias Jesso Jr.
User: 8.5,User: tbd,User: 7.3,User: 7.4,User: 8.1
18-Oct-19,27-Apr-18,5-May-17,19-Aug-16,17-Mar-15
This (Is What I Wanted to Tell You),Qualm,After Laughter,A Cosmic Rhythm with Each Stroke,Sprinter
82,82,82,82,81
Lambchop,Helena Hauff,Paramore,Vijay Iyer,Torres
User: 7.4,User: 7.5,User: 8.3,User: 7.5,User: 8.1
22-Mar-19,3-Aug-18,12-May-17,25-Mar-16,5-May-15
The Undivided Five,Babelsberg,Cruel Optimism,Real,Short Movie
82,82,82,82,81
A Winged Victory for the Sullen,Gruff Rhys,Lawrence English,Lydia Loveless,Laura Marling
User: tbd,User: 8.2,User: tbd,User: 6.8,User: 8.1
1-Nov-19,8-Jun-18,17-Feb-17,19-Aug-16,24-Mar-15
Odds Against Tomorrow,How to Socialise & Make Friends,Slowdive,Dig in Deep,Mutant
82,82,82,82,81
Bill Orcutt,Camp Cope,Slowdive,Bonnie Raitt,Arca
User: tbd,User: 7.7,User: 8.2,User: 6.5,User: 8.3
11-Oct-19,2-Mar-18,5-May-17,26-Feb-16,20-Nov-15
A Beautiful Thing: Idles Live at Le Bataclan,"We're Your Friends, Man",Heartless,Front Row Seat to Earth,Key Markets
82,82,82,82,81
Idles,The Bevis Frond,Pallbearer,Weyes Blood,Sleaford Mods
User: 7.0,User: tbd,User: 8.0,User: 8.1,User: 7.9
6-Dec-19,7-Dec-18,24-Mar-17,21-Oct-16,24-Jul-15
Bubba,Heaven,Not Even Happiness,Up to Anything,I Don't Like Shit: I Don't Go Outside
82,82,82,82,81
Kaytranada,Dilly Dally,Julie Byrne,The Goon Sax,Earl Sweatshirt
User: 8.5,User: 7.5,User: 8.0,User: 8.5,User: 8.3
13-Dec-19,14-Sep-18,27-Jan-17,18-Mar-16,23-Mar-15
Get Tragic,At Weddings,Rocket,Hold On!,Saturn's Pattern
82,82,82,82,81
Blood Red Shoes,Tomberlin,(Sandy) Alex G,The James Hunter Six,Paul Weller
User: 7.0,User: 7.4,User: 8.2,User: 6.4,User: 7.7
25-Jan-19,10-Aug-18,19-May-17,5-Feb-16,19-May-15
True North,Construction Time & Demolition,Love What Survives,The Dream Is Over,Highly Deadly Black Tarantula
82,82,82,82,81
Michael Chapman,Wreckless Eric,Mount Kimbie,PUP,Teeth of the Sea
User: 6.7,User: tbd,User: 7.9,User: 8.5,User: tbd
8-Feb-19,6-Apr-18,8-Sep-17,27-May-16,13-Nov-15
Nighttime Stories,Now Only,Painted Ruins,False Readings On,Kannon
82,82,82,81,81
Pelican,Mount Eerie,Grizzly Bear,Eluvium,Sunn O)))
User: 7.5,User: 7.9,User: 8.3,User: 7.5,User: 6.4
7-Jun-19,16-Mar-18,18-Aug-17,2-Sep-16,4-Dec-15
Father of the Bride,The Lookout,The Kid,The Midnight Sun,Ego Death
82,82,82,81,81
Vampire Weekend,Laura Veirs,Kaitlyn Aurelia Smith,C Duncan,The Internet
User: 7.6,User: 8.1,User: 7.7,User: 7.6,User: 8.6
3-May-19,13-Apr-18,6-Oct-17,14-Oct-16,29-Jun-15
Ventura,Wide Awake!,What If,Holy Ghost,The Phosphorescent Blues
82,82,82,81,81
Anderson .Paak,Parquet Courts,Hauschka,Modern Baseball,Punch Brothers
User: 8.3,User: 8.1,User: 7.6,User: 7.7,User: 8.0
12-Apr-19,18-May-18,31-Mar-17,13-May-16,27-Jan-15
Sunshine Rock,Our Raw Heart,Hot Thoughts,Blank Face LP,Allas Sak
82,82,82,81,81
Bob Mould,YOB,Spoon,ScHoolboy Q,Dungen
User: 7.3,User: 8.0,User: 8.0,User: 8.4,User: 7.2
8-Feb-19,8-Jun-18,17-Mar-17,8-Jul-16,25-Sep-15
Final Transmission,With Animals,50,The Weight of These Wings,AmERICa
82,82,82,81,81
Cave In,Mark Lanegan,Michael Chapman,Miranda Lambert,Wreckless Eric
User: tbd,User: 7.8,User: tbd,User: 7.5,User: 7.5
7-Jun-19,24-Aug-18,20-Jan-17,18-Nov-16,13-Nov-15
Why Hasn't Everything Already Disappeared?,Suspiria [Original Motion Picture Soundtrack],Tara Jane O'Neil,Bonito Generation,Why Make Sense?
82,82,82,81,81
Deerhunter,Thom Yorke,Tara Jane O'Neil,Kero Kero Bonito,Hot Chip
User: 7.6,User: 8.4,User: 8.0,User: 8.4,User: 8.0
18-Jan-19,26-Oct-18,21-Apr-17,21-Oct-16,19-May-15
What We Say in Private,Make Way for Love,Saturation III,Eric Bachmann,Sore
82,82,82,81,81
Ada Lea,Marlon Williams,BROCKHAMPTON,Eric Bachmann,Dilly Dally
User: tbd,User: 7.9,User: 8.6,User: 4.9,User: 8.4
19-Jul-19,16-Feb-18,15-Dec-17,25-Mar-16,9-Oct-15
Rap Or Go To The League,Sister Cities,Cry Cry Cry,RR7349,Trackless Woods
82,82,82,81,81
2 Chainz,The Wonder Years,Wolf Parade,S U R V I V E,Iris DeMent
User: 7.4,User: 7.8,User: 8.1,User: 7.8,User: tbd
1-Mar-19,6-Apr-18,6-Oct-17,30-Sep-16,7-Aug-15
Panorama,Caution,Condition,Take Me to the Alley,West Kirby Country Primary
82,82,81,81,81
La Dispute,Mariah Carey,Spectres,Gregory Porter,Bill Ryder-Jones
User: 8.0,User: 8.4,User: tbd,User: 5.9,User: 7.2
22-Mar-19,16-Nov-18,10-Mar-17,6-May-16,6-Nov-15
Inferno,Black Times,Hiss Spun,Strands,Alasdair Roberts
82,82,81,81,81
Robert Forster,Seun Kuti & Egypt 80,Chelsea Wolfe,Steve Hauschildt,Alasdair Roberts
User: tbd,User: tbd,User: 7.7,User: tbd,User: tbd
1-Mar-19,2-Mar-18,22-Sep-17,28-Oct-16,27-Jan-15
August,Nothing Is Still,Find Me Finding You,Motion Graphics,The Magic Whip
82,82,81,81,81
Shannon Lay,Leon Vynehall,Laetitia Sadier Source Ensemble,Motion Graphics,Blur
User: tbd,User: 8.1,User: tbd,User: tbd,User: 8.4
23-Aug-19,15-Jun-18,24-Mar-17,26-Aug-16,28-Apr-15
PROTO,The Future and the Past,Ojalá,99.90%,Ghost Culture
82,82,81,81,81
Holly Herndon,Natalie Prass,Lost Horizons,Kaytranada,Ghost Culture
User: 7.9,User: 7.6,User: 7.4,User: 8.5,User: 7.6
10-May-19,1-Jun-18,3-Nov-17,6-May-16,20-Jan-15
Schlagenheim,Fallen Trees,Visions of a Life,Potential,You're Better Than This
82,82,81,81,81
Black Midi,Lubomyr Melnyk,Wolf Alice,The Range,Pile
User: 8.3,User: tbd,User: 8.4,User: 7.7,User: tbd
21-Jun-19,7-Dec-18,29-Sep-17,25-Mar-16,3-Mar-15
Absolute Zero,Songs You Make at Night,Green Twins,Meet the Humans,Howl
82,82,81,81,80
Bruce Hornsby,Tunng,Nick Hakim,Steve Mason,Rival Consoles
User: tbd,User: tbd,User: 8.1,User: 7.5,User: 7.5
12-Apr-19,24-Aug-18,19-May-17,26-Feb-16,16-Oct-15
American Love Call,Now That I'm a River,Play What They Want,Guidance,Sound & Color
82,82,81,81,80
Durand Jones & the Indications,Charles Watson,Man Forever,Russian Circles,Alabama Shakes
User: 8.5,User: tbd,User: tbd,User: 8.2,User: 8.2
1-Mar-19,18-May-18,19-May-17,5-Aug-16,21-Apr-15
Birth of Violence,Nearer My God,IV,Azel,Dornik
82,82,81,81,80
Chelsea Wolfe,Foxing,Part Chimp,Bombino,Dornik
User: 7.8,User: 8.1,User: tbd,User: 7.6,User: tbd
13-Sep-19,10-Aug-18,14-Apr-17,1-Apr-16,7-Aug-15
Wildcard,Historian,Closure,Islah,Hi Honey
82,82,81,81,80
Miranda Lambert,Lucy Dacus,Piano Magic,Kevin Gates,Low Cut Connie
User: 8.5,User: 8.0,User: 7.8,User: 8.2,User: tbd
1-Nov-19,2-Mar-18,27-Jan-17,29-Jan-16,21-Apr-15
ATAXIA,Childqueen,Jardín,Heart like a Levee,Mount The Air
82,82,81,81,80
Rian Treanor,Kadhja Bonet,Gabriel Garzón-Montano,Hiss Golden Messenger,The Unthanks
User: tbd,User: 8.7,User: 7.8,User: 7.8,User: tbd
15-Mar-19,8-Jun-18,27-Jan-17,7-Oct-16,17-Feb-15
Help Us Stranger,Le Kov,Capacity,Mangy Love,Ratchet
81,81,81,81,80
The Raconteurs,Gwenno,Big Thief,Cass McCombs,Shamir
User: 8.0,User: 7.5,User: 8.0,User: 7.6,User: 8.0
21-Jun-19,2-Mar-18,9-Jun-17,26-Aug-16,19-May-15
Blood,Irisiri,"From a Room, Vol. 1",Modern Country,Bleeds
81,81,81,81,80
Kelsey Lu,Eartheater,Chris Stapleton,William Tyler,Roots Manuva
User: 8.3,User: tbd,User: 7.2,User: tbd,User: 8.4
19-Apr-19,8-Jun-18,5-May-17,3-Jun-16,30-Oct-15
Apollo XXI,Bellowing Sun,AZD,"Barbara Barbara, We Face a Shining Future",Bad Magic
81,81,81,81,80
Steve Lacy,Mind Over Mirrors,Actress,Underworld,Motörhead
User: 7.7,User: tbd,User: 7.0,User: 7.5,User: 8.5
24-May-19,6-Apr-18,14-Apr-17,18-Mar-16,28-Aug-15
Beware of the Dogs,Broken Politics,A Fever Dream,Sorceress,Hairless Toys
81,81,81,81,80
Stella Donnelly,Neneh Cherry,Everything Everything,Opeth,Roisin Murphy
User: 8.0,User: 8.0,User: 8.2,User: 7.7,User: 8.4
8-Mar-19,19-Oct-18,18-Aug-17,30-Sep-16,12-May-15
Of the Sun,True Meanings,Holiday Destination,The Unborn Capitalist From Limbo,Perpetual Motion People
81,81,81,81,80
Trupa Trupa,Paul Weller,Nadine Shah,Cory Hanson,Ezra Furman
User: tbd,User: 7.8,User: 8.2,User: tbd,User: 8.4
13-Sep-19,14-Sep-18,25-Aug-17,11-Nov-16,10-Jul-15
This Land,Shelly's on Zenn-La,Northern Passages,Don't Let the Kids Win,Communion
81,81,81,81,80
"Gary Clark, Jr.",Oliver Coates,The Sadies,Julia Jacklin,Rabit
User: 7.6,User: tbd,User: tbd,User: 7.7,User: tbd
22-Feb-19,7-Sep-18,10-Feb-17,7-Oct-16,30-Oct-15
New Breed,Lala Belu,The Queen of Hearts,Unseen,Lost Time
81,81,81,81,80
Dawn,Hailu Mergia,Offa Rex,The Handsome Family,Dave Alvin
User: 8.4,User: tbd,User: tbd,User: 7.1,User: tbd
25-Jan-19,23-Feb-18,14-Jul-17,16-Sep-16,18-Sep-15
Cheap Queen,Angels of Death,Salutations,GLA,Let the Good Times Roll
81,81,81,81,80
King Princess,Jennifer Castle,Conor Oberst,Twin Atlantic,JD McPherson
User: 8.5,User: tbd,User: 7.9,User: 7.0,User: tbd
25-Oct-19,18-May-18,17-Mar-17,9-Sep-16,10-Feb-15
Memory,Onion,Medicine Songs,Eve,The Book of Souls
81,81,81,81,80
Vivian Girls,Shannon and the Clams,Buffy Sainte-Marie,Thalia Zedek,Iron Maiden
User: 7.8,User: 7.8,User: tbd,User: tbd,User: 8.6
20-Sep-19,16-Feb-18,10-Nov-17,19-Aug-16,4-Sep-15
Young Enough,"Bark Your Head Off, Dog",You're Not As _____ As You Think,No Man's Sky: Music for an Infinite Universe [Original Video Game Soundtrack],Still
81,81,81,81,80
Charly Bliss,Hop Along,Sorority Noise,65daysofstatic,Richard Thompson
User: 8.2,User: 8.1,User: 7.8,User: 8.5,User: tbd
10-May-19,6-Apr-18,17-Mar-17,5-Aug-16,23-Jun-15
Atlanta Millionaires Club,13 Rivers,How the West Was Won,Gore,Chants for Socialists
81,81,81,81,80
Faye Webster,Richard Thompson,Peter Perrett,Deftones,Darren Hayman
User: 7.5,User: tbd,User: tbd,User: 8.0,User: tbd
24-May-19,14-Sep-18,30-Jun-17,8-Apr-16,2-Feb-15
AJ Tracey,Dead Magic,Strike a Match,Distance Inbetween,Modern Nature
81,81,81,81,80
AJ Tracey,Anna von Hausswolff,Sacred Paws,The Coral,The Charlatans UK
User: 5.9,User: 8.2,User: 7.8,User: 7.4,User: 7.9
8-Feb-19,2-Mar-18,27-Jan-17,4-Mar-16,26-Jan-15
You Will Not Die,By the Way I Forgive You,World Eater,The Glowing Man,Sun Coming Down
81,81,81,81,80
Nakhane,Brandi Carlile,Blanck Mass,Swans,Ought
User: 8.5,User: 8.0,User: 8.0,User: 8.6,User: 8.3
22-Feb-19,16-Feb-18,3-Mar-17,17-Jun-16,18-Sep-15
The Talkies,Damned Devotion,"The Sounds of Crenshaw, Vol. 1",You Can't Go Back if There's Nothing To Go Back To,Distractions
81,81,81,81,80
Girl Band,Joan as Police Woman,The Pollyseeds,Richmond Fontaine,Sauna Youth
User: 7.8,User: 6.5,User: tbd,User: 7.4,User: tbd
27-Sep-19,9-Feb-18,14-Jul-17,18-Mar-16,8-Jun-15
Diviner,Open Here,Hippopotamus,A Weird Exits,Get to Heaven
81,81,81,81,80
Hayden Thorpe,Field Music,Sparks,Thee Oh Sees,Everything Everything
User: 7.5,User: 8.0,User: 7.2,User: 7.9,User: 8.6
24-May-19,2-Feb-18,8-Sep-17,12-Aug-16,22-Jun-15
Fear Inoculum,Konoyo,Untouchable,New View,Thank Your Lucky Stars
81,81,81,81,80
Tool,Tim Hecker,Cairo Gang,Eleanor Friedberger,Beach House
User: 7.9,User: 7.8,User: tbd,User: 7.7,User: 8.6
30-Aug-19,28-Sep-18,24-Mar-17,22-Jan-16,16-Oct-15
Careful,"American Dollar Bill - Keep Facing Sideways, You're Too Hideous To Look at Face On",Max Richter: Three Worlds – Music from Woolf Works,The Wilderness,Mystery Glue
81,81,81,80,80
Boy Harsher,Sumac,Max Richter,Explosions in the Sky,Graham Parker & the Rumour
User: 7.8,User: tbd,User: 7.6,User: 8.1,User: tbd
1-Feb-19,23-Feb-18,27-Jan-17,1-Apr-16,19-May-15
IGOR,Redemption,The Animal Spirits,Brilliant Sanity,Are You Alone?
81,81,81,80,80
"Tyler, The Creator",Jay Rock,James Holden & the Animal Spirits,Teleman,Majical Cloudz
User: 8.7,User: 8.1,User: 8.0,User: 8.2,User: 7.4
17-May-19,15-Jun-18,3-Nov-17,8-Apr-16,16-Oct-15
Fever,LUMP,Out of Range,Everybody's Heart Is Broken Now,Be Small
81,81,81,80,80
Megan Thee Stallion,LUMP,Gun Outfit,Niki and the Dove,Here We Go Magic
User: 8.7,User: 7.9,User: tbd,User: 8.0,User: tbd
17-May-19,1-Jun-18,10-Nov-17,22-Apr-16,16-Oct-15
Late Night Tales,Prequelle,Fin,Retribution,Fresh Blood
81,81,81,80,80
Floating Points,Ghost,Syd,Tanya Tagaq,Matthew E. White
User: tbd,User: 8.3,User: 8.2,User: 7.4,User: 7.6
29-Mar-19,1-Jun-18,3-Feb-17,21-Oct-16,10-Mar-15
On Time Out of Time,Palo Santo,I'm a Harmony,KoKoro,Tetsuo & Youth
81,81,81,80,80
William Basinski,Years & Years,Linda Perhacs,El Perro del Mar,Lupe Fiasco
User: 6.2,User: 8.1,User: tbd,User: 6.8,User: 8.5
8-Mar-19,6-Jul-18,22-Sep-17,16-Sep-16,20-Jan-15
Crush,Room Inside the World,Impressions,Fool,Black Age Blues
81,81,81,80,80
Floating Points,Ought,Tall Ships,Jameszoo,Goatsnake
User: 8.1,User: 8.0,User: 8.3,User: 7.6,User: 6.0
18-Oct-19,16-Feb-18,10-Feb-17,13-May-16,2-Jun-15
Deceiver,Extralife,Borders,Wyatt at the Coyote Palace,All a Man Should Do
81,81,81,80,80
DIIV,Darlingside,Emptyset,Kristin Hersh,Lucero
User: 8.3,User: tbd,User: 7.8,User: tbd,User: tbd
4-Oct-19,23-Feb-18,27-Jan-17,11-Nov-16,18-Sep-15
Blume,FM!,No Home of the Mind,Heron Oblivion,DS2
81,81,81,80,80
Nérija,Vince Staples,Bing & Ruth,Heron Oblivion,Future
User: tbd,User: 7.9,User: tbd,User: 7.0,User: 7.4
2-Aug-19,2-Nov-18,17-Feb-17,4-Mar-16,17-Jul-15
Ode To Joy,Shelter,War & Leisure,Bottomless Pit,Jura
81,81,81,80,80
Wilco,Olivia Chaney,Miguel,Death Grips,Robbie Fulks
User: 7.9,User: tbd,User: 7.6,User: 8.6,User: 8.3
4-Oct-19,15-Jun-18,1-Dec-17,6-May-16,27-Nov-15
A Distant Call,Chemistry Lessons Volume 1,Somersault,Big Black Coat,Georgia
81,81,81,80,80
Sheer Mag,Chris Carter,Beach Fossils,Junior Boys,Georgia
User: 7.2,User: tbd,User: 8.0,User: 7.8,User: 6.0
23-Aug-19,30-Mar-18,2-Jun-17,5-Feb-16,7-Aug-15
Oh My God,Lost & Found,Diversions Vol. 4: The Songs and Poems of Molly Drake,Changes,Give Up Your Dreams
81,81,81,80,80
Kevin Morby,Jorja Smith,The Unthanks,Charles Bradley,The Phoenix Foundation
User: 7.4,User: 8.4,User: tbd,User: 8.1,User: 6.5
26-Apr-19,8-Jun-18,26-May-17,1-Apr-16,7-Aug-15
Amyl and the Sniffers,Ultraviolet,Sleeping Through the War,Utopia Defeated,Worthy
81,81,81,80,80
Amyl and the Sniffers,Kelly Moran,All Them Witches,D.D. Dumbo,Bettye LaVette
User: 7.1,User: 7.8,User: 8.5,User: 7.8,User: tbd
24-May-19,2-Nov-18,24-Feb-17,14-Oct-16,27-Jan-15
Ribbons,Your Queen Is A Reptile,English Tapas,Cashmere,Club Meds
81,81,81,80,80
Bibio,Sons of Kemet,Sleaford Mods,Swet Shop Boys,Dan Mangan
User: 8.1,User: 8.2,User: 7.7,User: 8.2,User: 7.1
12-Apr-19,30-Mar-18,3-Mar-17,14-Oct-16,13-Jan-15
Raw Honey,Be More Kind,Crack-Up,Ouroboros,The Good Fight
81,81,81,80,80
Drugdealer,Frank Turner,Fleet Foxes,Ray LaMontagne,Oddisee
User: 7.6,User: 7.4,User: 8.2,User: 7.8,User: 7.8
19-Apr-19,4-May-18,16-Jun-17,4-Mar-16,5-May-15
About the Light,Time & Space,Goin' Platinum!,A Loud Bash of Teenage Feelings,Pale Horses
81,81,81,80,80
Steve Mason,Turnstile,Robert Finley,Beach Slang,mewithoutYou
User: 6.4,User: 7.5,User: tbd,User: 7.1,User: 8.4
18-Jan-19,23-Feb-18,8-Dec-17,23-Sep-16,16-Jun-15
Agora,Loma,Lilies,The Childhood of a Leader [OST],Cascade
81,81,81,80,80
Fennesz,Loma,Melanie De Biasio,Scott Walker,William Basinski
User: 6.8,User: 8.0,User: tbd,User: tbd,User: tbd
29-Mar-19,16-Feb-18,6-Oct-17,19-Aug-16,28-Apr-15
This Is How You Smile,Yawn,A Deeper Understanding,Stay Gold,Thunderbitch
81,81,81,80,80
Helado Negro,Bill Ryder-Jones,The War on Drugs,Butch Walker,Thunderbitch
User: 7.7,User: 7.1,User: 8.4,User: tbd,User: tbd
8-Mar-19,2-Nov-18,25-Aug-17,26-Aug-16,29-Aug-15
Hypersonic Missiles,Downey to Lubbock,Rainbow,The Disco's of Imhotep,Works for Tomorrow
81,81,81,80,80
Sam Fender,Dave Alvin,Kesha,Hieroglyphic Being,Eleventh Dream Day
User: 8.0,User: tbd,User: 8.6,User: tbd,User: tbd
13-Sep-19,1-Jun-18,11-Aug-17,5-Aug-16,24-Jul-15
Brickbat,The Horizon Just Laughed,Villains,The Sun's Tirade,Junun
81,81,81,80,79
Piroshka,Damien Jurado,Queens of the Stone Age,Isaiah Rashad,Shye Ben-Tzur
User: tbd,User: 7.5,User: 7.6,User: 8.3,User: 7.6
15-Feb-19,4-May-18,25-Aug-17,2-Sep-16,13-Nov-15
Giant Swan,Kill the Lights,The Weather,3001: A Laced Odyssey,Max Richter: Sleep [8 Hour Version]
81,81,80,80,79
Giant Swan,Tony Molina,Pond,Flatbush Zombies,Max Richter
User: tbd,User: 7.1,User: 8.1,User: 7.9,User: 7.9
8-Nov-19,27-Jul-18,5-May-17,11-Mar-16,4-Sep-15
I Am Easy to Find,Someday Everything Will Be Fine,If All I Was Was Black,All My Demons Greeting Me as a Friend,On Your Own Love Again
81,81,80,80,79
The National,Spider Bags,Mavis Staples,AURORA,Jessica Pratt
User: 8.4,User: tbd,User: 6.8,User: 8.8,User: 7.8
17-May-19,3-Aug-18,17-Nov-17,11-Mar-16,27-Jan-15
Twelve Nudes,Pastoral,Crawl Space,Snake Pit,VEGA INTL. Night School
80,81,80,80,79
Ezra Furman,Gazelle Twin,Tei Shi,Harvey Mandel,Neon Indian
